nearest_facility_id,nearest_facility_type,acq_date,daily_detections,daily_total_frp_mw,daily_max_frp_mw
L100000102082,coal_power,2025-03-18,7,19.15,4.99
L100000102082,coal_power,2025-03-19,4,6.69,1.86
L100000102082,coal_power,2025-03-20,1,2.39,2.39
L100000102082,coal_power,2025-03-21,2,10.280000000000001,6.91
L100000102082,coal_power,2025-03-22,5,14.129999999999999,3.41
L100000102082,coal_power,2025-03-23,5,12.870000000000001,4.26
L100000102082,coal_power,2025-03-26,1,4.05,4.05
L100000102082,coal_power,2025-03-27,2,6.15,3.31
L100000102082,coal_power,2025-03-28,3,3.54,1.3
L100000102082,coal_power,2025-03-29,2,8.64,4.49
L100000102082,coal_power,2025-03-31,5,6.95,1.99
L100000102082,coal_power,2025-04-01,3,10.44,6.22
L100000102082,coal_power,2025-04-02,1,7.07,7.07
L100000102082,coal_power,2025-04-05,4,7.17,2.3
L100000102082,coal_power,2025-04-08,1,4.11,4.11
L100000102082,coal_power,2025-04-09,3,9.21,4.89
L100000102082,coal_power,2025-04-12,2,9.16,5.68
L100000102082,coal_power,2025-04-14,1,3.1,3.1
L100000102082,coal_power,2025-04-15,1,2.87,2.87
L100000102082,coal_power,2025-04-16,3,4.06,1.78
L100000102082,coal_power,2025-04-17,2,7.83,5.06
L100000102082,coal_power,2025-04-18,4,13.84,5.2
L100000102082,coal_power,2025-04-21,1,2.69,2.69
L100000102082,coal_power,2025-04-22,3,4.87,2.42
L100000102082,coal_power,2025-04-23,2,2.42,1.5
L100000102082,coal_power,2025-04-24,2,3.0199999999999996,2.07
L100000102082,coal_power,2025-04-25,2,6.42,3.22
L100000102082,coal_power,2025-04-26,1,3.23,3.23
L100000102082,coal_power,2025-04-27,1,4.95,4.95
L100000102082,coal_power,2025-04-28,4,12.280000000000001,3.39
L100000102082,coal_power,2025-04-29,4,14.809999999999999,7.16
L100000102082,coal_power,2025-05-02,1,0.72,0.72
L100000102082,coal_power,2025-05-03,1,5.05,5.05
L100000102082,coal_power,2025-05-05,3,8.44,2.98
L100000102082,coal_power,2025-05-06,5,7.59,2.41
L100000102082,coal_power,2025-05-07,2,5.51,3.01
L100000102082,coal_power,2025-05-08,6,16.73,5.1
L100000102082,coal_power,2025-05-09,2,8.4,5.03
L100000102082,coal_power,2025-05-10,3,6.550000000000001,2.22
L100000102082,coal_power,2025-05-12,1,2.0,2.0
L100000102082,coal_power,2025-05-15,3,4.45,1.57
L100000102082,coal_power,2025-05-16,2,2.91,1.77
L100000102082,coal_power,2025-05-19,1,2.33,2.33
L100000102082,coal_power,2025-05-21,1,0.63,0.63
L100000102082,coal_power,2025-05-23,2,2.2800000000000002,1.51
L100000102082,coal_power,2025-05-25,3,4.78,1.6
L100000102082,coal_power,2025-06-04,2,8.97,6.19
L100000102082,coal_power,2025-06-06,3,7.02,3.44
L100000102082,coal_power,2025-06-08,1,1.87,1.87
L100000102082,coal_power,2025-06-09,1,4.94,4.94
L100000102082,coal_power,2025-06-13,1,2.74,2.74
L100000102082,coal_power,2025-06-20,1,3.94,3.94
L100000102082,coal_power,2025-07-10,6,17.62,4.28
L100000102082,coal_power,2025-07-21,2,2.8200000000000003,1.52
L100000102082,coal_power,2025-07-26,2,6.26,3.89
L100000102082,coal_power,2025-07-29,4,3.1,0.86
L100000102082,coal_power,2025-08-02,1,2.0,2.0
L100000102082,coal_power,2025-08-03,1,7.97,7.97
L100000102082,coal_power,2025-08-05,5,8.42,2.82
L100000102082,coal_power,2025-08-10,3,3.18,1.06
L100000102082,coal_power,2025-08-11,1,1.58,1.58
L100000102082,coal_power,2025-08-13,1,8.52,8.52
L100000102082,coal_power,2025-08-14,2,7.29,4.16
L100000102082,coal_power,2025-08-18,1,0.61,0.61
L100000102082,coal_power,2025-08-27,1,1.57,1.57
L100000102082,coal_power,2025-09-03,2,3.91,2.15
L100000102082,coal_power,2025-09-04,1,4.3,4.3
L100000102082,coal_power,2025-09-08,4,7.859999999999999,1.99
L100000102082,coal_power,2025-09-13,4,7.99,2.41
L100000102082,coal_power,2025-09-14,1,5.32,5.32
L100000102082,coal_power,2025-09-15,1,1.59,1.59
L100000102082,coal_power,2025-09-16,4,9.52,2.45
L100000102082,coal_power,2025-09-17,1,1.83,1.83
L100000102082,coal_power,2025-09-18,1,3.02,3.02
L100000102082,coal_power,2025-09-19,4,10.5,3.5
L100000102082,coal_power,2025-09-20,2,6.0600000000000005,3.17
L100000102082,coal_power,2025-09-23,1,0.8,0.8
L100000102082,coal_power,2025-09-25,2,6.029999999999999,3.73
L100000102082,coal_power,2025-09-28,2,3.88,2.0
L100000102082,coal_power,2025-09-30,2,3.5,1.75
L100000102082,coal_power,2025-10-03,2,1.86,0.93
L100000102082,coal_power,2025-10-05,1,4.44,4.44
L100000102082,coal_power,2025-10-06,3,2.79,1.55
L100000102082,coal_power,2025-10-11,1,3.45,3.45
L100000102082,coal_power,2025-10-12,1,2.84,2.84
L100000102082,coal_power,2025-10-13,4,3.93,1.04
L100000102082,coal_power,2025-10-14,2,4.41,2.25
L100000102082,coal_power,2025-10-15,3,7.7,3.83
L100000102082,coal_power,2025-10-16,5,10.77,3.12
L100000102082,coal_power,2025-10-17,4,15.43,6.42
L100000102082,coal_power,2025-10-19,5,7.18,1.64
L100000102082,coal_power,2025-10-20,2,4.04,2.02
L100000102082,coal_power,2025-10-21,2,8.57,5.32
L100000102082,coal_power,2025-10-24,2,3.5,1.88
L100000102082,coal_power,2025-10-25,3,5.53,1.85
L100000102082,coal_power,2025-10-26,2,3.06,1.53
L100000102082,coal_power,2025-10-30,2,5.24,3.56
L100000102082,coal_power,2025-10-31,2,3.52,1.76
L100000102082,coal_power,2025-11-01,3,10.26,5.52
L100000102082,coal_power,2025-11-02,3,4.32,1.8
L100000102082,coal_power,2025-11-03,2,4.86,2.43
L100000102082,coal_power,2025-11-04,6,10.83,2.39
L100000102082,coal_power,2025-11-05,4,10.23,3.54
L100000102082,coal_power,2025-11-06,4,9.95,3.67
L100000102082,coal_power,2025-11-07,3,6.1899999999999995,2.3
L100000102082,coal_power,2025-11-08,5,15.74,5.33
L100000102082,coal_power,2025-11-09,6,11.64,2.88
L100000102082,coal_power,2025-11-10,2,2.84,1.42
L100000102082,coal_power,2025-11-11,3,13.79,4.82
L100000102082,coal_power,2025-11-12,5,8.96,2.47
L100000102082,coal_power,2025-11-13,5,15.17,4.34
L100000102082,coal_power,2025-11-14,3,8.459999999999999,5.22
L100000102082,coal_power,2025-11-15,1,5.14,5.14
L100000102082,coal_power,2025-11-16,4,18.46,5.53
L100000102082,coal_power,2025-11-17,5,11.11,2.69
L100000102082,coal_power,2025-11-18,6,14.23,5.08
L100000102082,coal_power,2025-11-19,3,10.129999999999999,4.0
L100000102082,coal_power,2025-11-21,2,10.51,6.92
L100000102082,coal_power,2025-11-22,2,7.720000000000001,3.93
L100000102082,coal_power,2025-11-23,1,5.28,5.28
L100000102082,coal_power,2025-11-24,1,3.67,3.67
L100000102082,coal_power,2025-11-25,4,7.18,1.89
L100000102082,coal_power,2025-11-26,2,3.83,2.8
L100000102082,coal_power,2025-11-27,4,6.79,1.75
L100000102082,coal_power,2025-11-28,6,16.05,5.12
L100000102082,coal_power,2025-12-03,4,7.319999999999999,2.28
L100000102082,coal_power,2025-12-04,5,16.939999999999998,5.71
L100000102082,coal_power,2025-12-05,4,6.4,2.04
L100000102082,coal_power,2025-12-06,3,9.1,4.04
L100000102082,coal_power,2025-12-07,4,13.440000000000001,5.23
L100000102082,coal_power,2025-12-08,4,8.66,5.18
L100000102082,coal_power,2025-12-09,6,13.3,4.46
L100000102082,coal_power,2025-12-10,4,8.03,2.11
L100000102082,coal_power,2025-12-11,7,12.54,2.93
L100000102082,coal_power,2025-12-12,2,4.1,2.05
L100000102082,coal_power,2025-12-13,3,8.92,6.36
L100000102082,coal_power,2025-12-14,6,14.08,4.86
L100000102082,coal_power,2025-12-15,5,11.98,4.03
L100000102082,coal_power,2025-12-16,6,13.91,7.26
L100000102082,coal_power,2025-12-17,6,12.98,3.66
L100000102082,coal_power,2025-12-18,3,5.01,2.93
L100000102082,coal_power,2025-12-19,5,13.24,5.32
L100000102082,coal_power,2025-12-20,5,14.71,5.12
L100000102082,coal_power,2025-12-21,5,19.1,4.76
L100000102082,coal_power,2025-12-22,7,16.25,3.63
L100000102082,coal_power,2025-12-23,6,13.96,5.82
L100000102082,coal_power,2025-12-24,6,19.29,5.05
L100000102082,coal_power,2025-12-25,6,16.7,5.96
L100000102082,coal_power,2025-12-26,6,18.169999999999998,9.18
L100000102082,coal_power,2025-12-27,5,11.5,3.81
L100000102082,coal_power,2025-12-28,7,15.79,5.51
L100000102082,coal_power,2025-12-29,4,9.13,2.94
L100000102082,coal_power,2025-12-30,5,14.33,4.73
L100000102082,coal_power,2025-12-31,3,9.33,6.94
L100000102111,coal_power,2025-11-28,1,0.57,0.57
L100000102118,coal_power,2025-12-05,1,4.39,4.39
L100000102121,coal_power,2025-03-05,1,5.35,5.35
L100000102122,coal_power,2025-01-01,1,2.17,2.17
L100000102122,coal_power,2025-01-02,1,3.04,3.04
L100000102122,coal_power,2025-01-03,1,2.47,2.47
L100000102122,coal_power,2025-12-25,1,7.35,7.35
L100000102122,coal_power,2025-12-29,2,5.27,2.65
L100000102122,coal_power,2025-12-31,1,6.21,6.21
L100000102123,coal_power,2025-12-08,1,8.59,8.59
L100000102125,coal_power,2025-03-12,1,2.22,2.22
L100000102128,coal_power,2025-01-10,2,15.17,7.62
L100000102128,coal_power,2025-12-18,1,2.07,2.07
L100000102132,coal_power,2025-03-29,1,2.89,2.89
L100000102134,coal_power,2025-12-17,1,1.76,1.76
L100000102134,coal_power,2025-12-21,3,9.9,4.61
L100000102134,coal_power,2025-12-28,1,9.23,9.23
L100000102134,coal_power,2025-12-31,1,4.52,4.52
L100000102135,coal_power,2025-02-08,1,2.5,2.5
L100000102135,coal_power,2025-03-09,1,3.48,3.48
L100000102138,coal_power,2025-01-08,1,12.0,12.0
L100000102139,coal_power,2025-01-28,1,2.12,2.12
L100000102140,coal_power,2025-01-23,1,2.82,2.82
L100000102140,coal_power,2025-12-25,1,4.38,4.38
L100000102141,coal_power,2025-01-10,1,8.3,8.3
L100000102141,coal_power,2025-12-05,1,1.34,1.34
L100000102141,coal_power,2025-12-21,1,2.09,2.09
L100000102142,coal_power,2025-05-03,1,0.65,0.65
L100000102144,coal_power,2025-02-27,1,1.69,1.69
L100000102145,coal_power,2025-01-01,2,12.26,6.13
L100000102145,coal_power,2025-01-04,1,8.88,8.88
L100000102145,coal_power,2025-02-01,1,4.63,4.63
L100000102145,coal_power,2025-02-28,1,7.88,7.88
L100000102145,coal_power,2025-03-29,2,15.440000000000001,9.22
