nearest_facility_id,nearest_facility_type,month,detections,active_days,mean_frp_mw,max_frp_mw
L100000102610,coal_power,3,1,1,11.04,11.04
L100000102613,coal_power,4,1,1,1.02,1.02
L100000102616,coal_power,1,3,3,2.08,4.93
L100000102620,coal_power,2,2,2,3.955,5.08
L100000102620,coal_power,6,1,1,6.34,6.34
L100000102646,coal_power,4,2,1,1.8399999999999999,2.29
L100000102666,coal_power,2,1,1,3.17,3.17
L100000102667,coal_power,11,1,1,2.44,2.44
L100000102671,coal_power,1,42,23,1.7438095238095237,4.77
L100000102671,coal_power,2,31,18,2.187741935483871,10.71
L100000102671,coal_power,3,34,20,2.195588235294118,4.76
L100000102671,coal_power,4,10,8,2.142,4.62
L100000102671,coal_power,5,9,7,2.227777777777778,3.15
L100000102671,coal_power,6,3,2,1.6033333333333335,1.61
L100000102671,coal_power,8,2,2,2.13,2.59
L100000102671,coal_power,9,4,4,1.925,2.26
L100000102671,coal_power,10,15,12,2.472666666666667,7.99
L100000102671,coal_power,11,25,15,2.2328,8.27
L100000102671,coal_power,12,31,20,1.9851612903225806,6.58
L100000102681,coal_power,1,1,1,2.38,2.38
L100000102685,coal_power,11,1,1,5.18,5.18
L100000104378,coal_power,11,1,1,2.47,2.47
L100000104861,coal_power,2,3,1,2.276666666666667,2.55
L100000105017,coal_power,1,4,4,1.3225,1.67
L100000105017,coal_power,2,7,7,1.3442857142857143,1.83
L100000105017,coal_power,3,9,8,1.6622222222222223,2.43
L100000105017,coal_power,4,2,2,1.685,1.87
L100000105017,coal_power,5,2,1,1.345,1.45
L100000105017,coal_power,9,5,5,1.182,1.72
L100000105017,coal_power,10,7,7,1.6385714285714283,2.28
L100000105017,coal_power,11,5,4,1.532,2.33
L100000105017,coal_power,12,4,4,1.3050000000000002,2.13
L100001000108,coal_power,6,2,1,0.43000000000000005,0.46
L100001000153,coal_power,3,2,1,1.68,2.94
L100001048073,coal_power,1,1,1,3.45,3.45
L100001083808,coal_power,1,1,1,5.86,5.86
L100001083808,coal_power,12,1,1,2.54,2.54
L100001083814,coal_power,1,2,2,7.13,7.18
P100000120510,steel,1,182,30,2.079120879120879,12.22
P100000120510,steel,2,196,28,2.2978061224489794,9.02
P100000120510,steel,3,169,30,2.5028994082840237,7.68
P100000120510,steel,4,119,25,2.867142857142857,11.44
P100000120510,steel,5,87,20,2.4611494252873563,11.6
P100000120510,steel,6,38,12,2.4763157894736842,7.45
P100000120510,steel,7,17,4,1.9805882352941178,3.65
P100000120510,steel,8,30,9,2.0473333333333334,7.92
P100000120510,steel,9,61,16,2.2211475409836066,7.11
P100000120510,steel,10,98,22,1.9079591836734693,6.7
P100000120510,steel,11,163,29,2.204171779141104,7.28
P100000120510,steel,12,196,30,2.1118367346938776,9.83
P100000120511,steel,1,153,30,3.3822875816993463,12.8
P100000120511,steel,2,161,28,3.386459627329193,14.06
P100000120511,steel,3,154,30,3.860064935064935,13.72
P100000120511,steel,4,101,26,4.033465346534653,13.68
P100000120511,steel,5,75,19,4.2358666666666664,13.0
P100000120511,steel,6,43,14,4.0053488372093025,12.79
P100000120511,steel,7,7,4,2.9442857142857144,5.21
P100000120511,steel,8,39,14,3.153076923076923,11.53
P100000120511,steel,9,49,15,2.556122448979592,7.44
P100000120511,steel,10,87,25,3.054022988505747,10.61
P100000120511,steel,11,140,30,3.296142857142857,12.0
P100000120511,steel,12,158,30,3.61253164556962,15.75
P100000120512,steel,1,20,16,1.7705000000000002,3.95
P100000120512,steel,2,21,17,1.5204761904761905,2.22
P100000120512,steel,3,19,12,1.72,3.41
P100000120512,steel,4,13,10,2.18,6.76
P100000120512,steel,5,12,6,2.9791666666666665,6.22
P100000120512,steel,6,4,3,0.8200000000000001,1.35
P100000120512,steel,7,6,2,1.0333333333333334,1.75
P100000120512,steel,8,2,2,3.22,5.49
P100000120512,steel,9,7,3,0.88,1.26
P100000120512,steel,10,5,5,0.992,1.28
P100000120512,steel,11,23,11,1.212608695652174,4.94
P100000120512,steel,12,33,17,1.716969696969697,6.11
P100000120513,steel,1,109,31,8.898715596330275,55.27
P100000120513,steel,2,104,28,7.124423076923076,44.05
P100000120513,steel,3,117,31,6.515982905982906,21.48
P100000120513,steel,4,109,30,7.423302752293578,26.4
P100000120513,steel,5,67,23,6.832835820895522,31.02
P100000120513,steel,6,45,15,7.964888888888889,27.86
P100000120513,steel,7,21,12,5.246190476190476,12.88
P100000120513,steel,8,29,15,7.506896551724138,47.3
P100000120513,steel,9,30,14,5.344666666666667,20.6
P100000120513,steel,10,83,26,7.081084337349398,23.61
P100000120513,steel,11,106,29,8.179056603773585,43.9
P100000120513,steel,12,117,31,7.631367521367522,30.0
P100000120515,steel,1,24,16,2.2133333333333334,6.58
P100000120515,steel,2,13,11,2.9353846153846153,5.83
P100000120515,steel,3,17,12,2.1370588235294115,3.39
P100000120515,steel,4,5,5,2.588,6.43
P100000120515,steel,5,7,6,2.2642857142857142,3.78
P100000120515,steel,6,3,3,2.876666666666667,5.86
P100000120515,steel,7,1,1,1.97,1.97
P100000120515,steel,8,3,3,4.243333333333333,6.58
P100000120515,steel,10,10,8,2.489,4.82
P100000120515,steel,11,25,17,2.4668,7.58
P100000120515,steel,12,35,21,2.866857142857143,7.87
P100000120516,steel,1,123,30,2.915609756097561,10.77
P100000120516,steel,2,135,28,3.295851851851852,10.09
P100000120516,steel,3,150,31,3.8819999999999997,13.02
P100000120516,steel,4,116,27,4.091637931034483,15.84
P100000120516,steel,5,85,24,4.118588235294117,10.92
P100000120516,steel,6,43,15,3.8967441860465115,7.69
P100000120516,steel,7,8,3,4.82125,6.96
P100000120516,steel,8,34,12,2.158823529411765,4.98
P100000120516,steel,9,42,13,2.505952380952381,7.66
P100000120516,steel,10,77,20,2.612857142857143,8.76
P100000120516,steel,11,135,29,3.2575555555555553,11.22
P100000120516,steel,12,148,31,2.95472972972973,8.75
P100000120517,steel,1,67,29,2.18089552238806,6.72
P100000120517,steel,2,64,27,2.3965625,8.7
P100000120517,steel,3,57,29,2.492280701754386,6.01
P100000120517,steel,4,41,21,3.253658536585366,10.27
P100000120517,steel,5,26,15,2.459230769230769,5.97
P100000120517,steel,6,10,6,1.956,3.68
P100000120517,steel,7,4,3,3.1975,4.22
P100000120517,steel,8,7,3,2.652857142857143,4.02
P100000120517,steel,9,8,5,1.5025,2.58
P100000120517,steel,10,39,19,2.3907692307692305,9.06
P100000120517,steel,11,62,24,2.3062903225806455,6.53
P100000120517,steel,12,95,31,2.5025263157894737,7.34
P100000120518,steel,1,20,15,1.5495,3.16
P100000120518,steel,2,13,11,2.025384615384615,5.56
P100000120518,steel,3,17,14,1.8505882352941176,2.63
P100000120518,steel,4,11,7,1.731818181818182,2.89
P100000120518,steel,5,6,5,1.9533333333333334,3.44
P100000120518,steel,6,5,5,1.8699999999999999,2.53
P100000120518,steel,7,5,4,1.746,2.42
P100000120518,steel,8,2,2,1.275,1.63
P100000120518,steel,9,2,2,1.045,1.19
P100000120518,steel,11,8,6,1.0050000000000001,3.18
P100000120518,steel,12,20,14,1.7269999999999999,3.23
P100000120519,steel,1,108,31,2.329537037037037,5.83
P100000120519,steel,2,97,28,2.6236082474226805,7.26
P100000120519,steel,3,89,30,3.118202247191011,7.8
P100000120519,steel,4,54,19,3.456111111111111,8.54
P100000120519,steel,5,29,13,3.1648275862068966,7.08
P100000120519,steel,6,11,7,2.6345454545454547,6.52
P100000120519,steel,7,26,7,1.878076923076923,4.38
P100000120519,steel,8,19,7,2.055263157894737,4.09
P100000120519,steel,9,27,10,1.7877777777777777,2.97
P100000120519,steel,10,35,14,1.7305714285714286,4.42
P100000120519,steel,11,73,21,2.336849315068493,5.44
P100000120519,steel,12,138,29,2.407608695652174,6.56
P100000120522,steel,2,1,1,0.66,0.66
P100000120522,steel,10,6,6,1.0433333333333332,1.2
P100000120522,steel,11,7,7,1.0642857142857143,1.39
P100000120522,steel,12,7,6,1.122857142857143,1.43
P100000120523,steel,1,9,6,3.1077777777777778,12.0
P100000120523,steel,2,7,6,2.858571428571428,5.8
P100000120523,steel,3,4,4,3.3474999999999997,8.74
P100000120523,steel,4,10,7,2.947,5.44
P100000120523,steel,5,7,5,1.6614285714285713,2.65
P100000120523,steel,6,2,2,3.7800000000000002,6.83
P100000120523,steel,7,2,1,4.035,6.04
P100000120523,steel,9,2,2,1.155,1.53
P100000120523,steel,10,3,3,1.7633333333333334,2.31
P100000120523,steel,11,10,9,2.2489999999999997,4.93
P100000120523,steel,12,10,9,1.935,6.01
P100000120524,steel,1,45,26,1.686222222222222,4.83
P100000120524,steel,2,30,18,1.78,5.42
P100000120524,steel,3,37,22,2.4497297297297296,9.26
P100000120524,steel,4,16,10,2.675,10.66
P100000120524,steel,5,5,4,1.59,3.18
P100000120524,steel,6,3,3,1.2333333333333332,1.89
P100000120524,steel,8,3,3,0.7333333333333334,1.2
P100000120524,steel,9,1,1,5.92,5.92
P100000120524,steel,10,18,8,3.7199999999999998,10.86
P100000120524,steel,11,7,6,0.9385714285714286,1.94
P100000120524,steel,12,21,15,1.553809523809524,3.69
P100000120525,steel,1,57,26,2.057543859649123,5.72
P100000120525,steel,2,58,23,2.289137931034483,7.92
P100000120525,steel,3,53,24,2.5805660377358492,6.85
P100000120525,steel,4,49,21,2.9514285714285715,8.52
P100000120525,steel,5,22,10,2.122727272727273,3.43
P100000120525,steel,6,7,4,3.077142857142857,5.08
P100000120525,steel,7,3,1,1.8033333333333335,2.59
P100000120525,steel,8,16,8,1.888125,6.06
P100000120525,steel,9,7,3,2.4899999999999998,4.83
P100000120525,steel,10,29,11,1.9117241379310344,6.56
P100000120525,steel,11,57,24,1.8742105263157895,6.09
P100000120525,steel,12,79,29,2.0070886075949366,5.58
P100000120526,steel,1,23,14,1.4217391304347828,2.7
P100000120526,steel,2,18,12,1.0705555555555555,2.2
P100000120526,steel,3,18,9,1.4783333333333333,2.57
P100000120526,steel,4,8,7,1.4975,2.44
P100000120526,steel,5,7,5,1.5442857142857143,3.42
P100000120526,steel,6,1,1,2.04,2.04
P100000120526,steel,7,1,1,0.93,0.93
P100000120526,steel,8,2,1,0.925,1.05
P100000120526,steel,10,7,4,2.047142857142857,3.93
P100000120526,steel,11,14,12,1.5150000000000001,3.14
P100000120526,steel,12,14,8,1.3214285714285714,2.81
P100000120527,steel,1,31,19,1.6441935483870966,7.18
P100000120527,steel,2,30,18,1.7246666666666668,5.37
P100000120527,steel,3,32,21,1.829375,4.39
P100000120527,steel,4,11,8,2.350909090909091,5.07
P100000120527,steel,5,7,5,2.1042857142857145,4.39
P100000120527,steel,6,13,8,2.413076923076923,4.0
P100000120527,steel,7,2,1,3.105,4.2
P100000120527,steel,8,5,4,1.6059999999999999,1.98
P100000120527,steel,9,9,7,1.8122222222222222,4.05
P100000120527,steel,10,22,14,1.7640909090909092,4.54
P100000120527,steel,11,30,20,1.6673333333333333,4.21
P100000120527,steel,12,35,20,1.914,7.59
P100000120528,steel,1,115,28,1.6896521739130435,4.56
P100000120528,steel,2,93,25,2.0165591397849463,5.49
P100000120528,steel,3,105,27,2.511428571428571,7.97
P100000120528,steel,4,77,23,2.807922077922078,9.5
P100000120528,steel,5,34,14,2.512941176470588,8.89
P100000120528,steel,6,38,11,2.6094736842105264,6.86
P100000120528,steel,7,2,2,1.81,2.75
P100000120528,steel,8,19,8,1.685263157894737,4.75
P100000120528,steel,9,40,13,2.49175,7.44
P100000120528,steel,10,77,18,1.8135064935064933,6.25
P100000120528,steel,11,102,25,1.9359803921568628,7.64
P100000120528,steel,12,129,28,1.9102325581395347,5.21
P100000120529,steel,1,110,29,2.118,13.53
P100000120529,steel,2,71,28,1.737887323943662,4.69
P100000120529,steel,3,60,22,2.4241666666666664,9.39
P100000120529,steel,4,40,21,2.9365,6.32
P100000120529,steel,5,19,10,2.5542105263157895,6.55
P100000120529,steel,6,21,9,2.7071428571428573,8.18
P100000120529,steel,7,1,1,0.3,0.3
P100000120529,steel,8,10,7,3.0149999999999997,9.11
P100000120529,steel,9,32,11,1.9096875,3.5
P100000120529,steel,10,45,16,1.8433333333333335,7.0
P100000120529,steel,11,79,26,1.8227848101265822,7.1
P100000120529,steel,12,89,27,1.840112359550562,9.62
P100000120530,steel,1,124,29,3.4983064516129034,24.0
P100000120530,steel,2,101,26,4.89039603960396,30.22
P100000120530,steel,3,95,28,4.415052631578948,37.18
P100000120530,steel,4,72,23,5.953611111111112,47.05
P100000120530,steel,5,47,17,5.608723404255319,41.97
P100000120530,steel,6,22,10,2.4263636363636363,6.0
P100000120530,steel,7,19,8,3.6526315789473687,8.46
P100000120530,steel,8,25,11,7.9392,24.76
P100000120530,steel,9,22,12,3.0486363636363634,8.24
P100000120530,steel,10,64,23,3.44421875,11.19
P100000120530,steel,11,126,28,4.425476190476191,23.63
P100000120530,steel,12,121,29,3.074710743801653,10.87
P100000120531,steel,7,2,2,2.73,4.12
P100000120531,steel,8,2,2,4.16,5.6
P100000120531,steel,9,2,1,1.675,2.56
P100000120531,steel,10,1,1,1.65,1.65
P100000120531,steel,11,6,6,1.4349999999999998,2.77
P100000120531,steel,12,4,4,0.9450000000000001,1.3
P100000120534,steel,1,28,16,1.2310714285714286,3.17
P100000120534,steel,2,17,12,1.1329411764705881,1.59
P100000120534,steel,3,22,15,1.875,4.55
P100000120534,steel,4,14,9,1.3135714285714286,2.56
P100000120534,steel,5,6,4,2.125,2.71
P100000120534,steel,6,6,6,2.38,5.02
P100000120534,steel,8,1,1,1.05,1.05
P100000120534,steel,9,2,1,0.89,0.89
P100000120534,steel,10,9,9,1.0066666666666668,1.35
P100000120534,steel,11,35,21,1.3574285714285714,3.87
P100000120534,steel,12,32,18,1.083125,3.27
P100000120535,steel,1,7,5,0.9042857142857142,1.38
P100000120535,steel,2,17,15,1.2582352941176471,1.76
P100000120535,steel,3,15,12,1.2160000000000002,1.88
P100000120535,steel,4,4,4,1.4325,1.77
P100000120535,steel,5,4,4,1.4700000000000002,2.08
P100000120535,steel,6,2,1,3.3449999999999998,5.67
P100000120535,steel,7,1,1,1.65,1.65
P100000120535,steel,9,6,5,1.29,1.47
P100000120535,steel,10,15,12,1.1353333333333333,1.97
P100000120535,steel,11,22,17,0.9777272727272728,2.17
P100000120535,steel,12,27,19,1.0525925925925925,1.73
P100000120536,steel,1,8,7,1.245,2.29
P100000120536,steel,2,9,9,1.4777777777777776,2.59
P100000120536,steel,3,11,10,1.4054545454545455,2.06
P100000120536,steel,4,12,11,2.2391666666666667,3.32
P100000120536,steel,5,8,4,2.2487500000000002,4.55
P100000120536,steel,6,3,3,1.7866666666666664,2.38
P100000120536,steel,7,1,1,1.39,1.39
P100000120536,steel,8,2,2,1.62,1.92
P100000120536,steel,9,2,2,1.6800000000000002,2.08
P100000120536,steel,10,2,2,1.3050000000000002,1.36
P100000120536,steel,11,11,9,1.3354545454545457,2.73
P100000120536,steel,12,22,15,1.2527272727272727,2.44
P100000120538,steel,3,1,1,8.82,8.82
P100000120538,steel,10,1,1,3.21,3.21
P100000120538,steel,11,2,1,2.87,3.07
P100000120540,steel,1,54,23,1.8162962962962963,6.91
P100000120540,steel,2,34,17,3.0364705882352943,13.51
P100000120540,steel,3,48,23,2.6529166666666666,12.77
P100000120540,steel,4,11,6,3.374545454545455,10.72
P100000120540,steel,5,13,9,4.056923076923077,8.91
P100000120540,steel,6,5,2,1.7440000000000002,2.85
P100000120540,steel,7,4,2,1.485,1.83
P100000120540,steel,8,6,5,1.1166666666666667,2.46
P100000120540,steel,9,14,6,1.5514285714285714,2.61
P100000120540,steel,10,22,14,1.095909090909091,1.71
P100000120540,steel,11,50,22,2.2352000000000003,16.68
P100000120540,steel,12,90,28,1.987,8.34
P100000120541,steel,1,3,3,1.1500000000000001,1.91
P100000120541,steel,2,4,4,0.9525,1.15
P100000120541,steel,3,3,3,0.9833333333333334,1.06
P100000120541,steel,4,1,1,1.94,1.94
P100000120541,steel,5,1,1,0.58,0.58
P100000120541,steel,6,1,1,6.18,6.18
P100000120541,steel,9,2,2,0.775,0.8
P100000120541,steel,10,1,1,0.9,0.9
P100000120541,steel,11,2,2,0.965,1.15
P100000120541,steel,12,1,1,0.92,0.92
P100000120543,steel,1,55,28,2.4914545454545456,5.72
P100000120543,steel,2,44,23,2.2181818181818183,4.9
P100000120543,steel,3,52,25,3.2201923076923076,9.24
P100000120543,steel,4,35,20,3.609142857142857,9.09
P100000120543,steel,5,18,12,3.6799999999999997,11.24
P100000120543,steel,6,13,8,2.8938461538461535,4.97
P100000120543,steel,7,7,5,1.4442857142857142,3.81
P100000120543,steel,8,10,5,2.197,7.84
P100000120543,steel,9,14,11,2.6464285714285714,6.79
P100000120543,steel,10,33,19,3.1003030303030306,10.63
P100000120543,steel,11,47,24,2.198936170212766,4.58
P100000120543,steel,12,61,29,2.4937704918032786,8.12
P100000120544,steel,1,9,7,1.061111111111111,1.43
P100000120544,steel,2,11,9,0.9527272727272728,1.4
P100000120544,steel,3,17,16,0.998235294117647,2.95
P100000120544,steel,4,9,7,1.3477777777777777,2.59
P100000120544,steel,5,6,6,1.2366666666666666,2.12
P100000120544,steel,6,4,4,1.6425,3.94
P100000120544,steel,7,1,1,2.32,2.32
P100000120544,steel,8,4,4,1.17,1.45
P100000120544,steel,9,1,1,4.4,4.4
P100000120544,steel,10,9,8,1.231111111111111,2.12
P100000120544,steel,11,10,10,0.861,1.24
P100000120544,steel,12,9,7,0.8588888888888888,1.41
P100000120546,steel,1,3,3,0.7000000000000001,0.85
P100000120546,steel,2,5,4,0.984,1.32
P100000120546,steel,3,4,4,1.0925,1.33
P100000120546,steel,4,4,3,1.1325,1.17
P100000120546,steel,6,1,1,0.48,0.48
P100000120546,steel,7,1,1,2.18,2.18
P100000120546,steel,8,2,2,2.0149999999999997,2.03
P100000120546,steel,9,1,1,1.15,1.15
P100000120546,steel,10,6,5,0.9916666666666667,1.83
P100000120546,steel,11,14,12,0.9614285714285715,1.42
P100000120546,steel,12,25,16,0.812,1.38
P100000120547,steel,1,4,4,0.8049999999999999,0.94
P100000120547,steel,2,3,3,1.6533333333333333,3.05
P100000120547,steel,3,3,3,1.1933333333333334,1.68
P100000120547,steel,9,4,3,2.1374999999999997,3.96
P100000120547,steel,11,3,3,1.1199999999999999,1.27
P100000120547,steel,12,8,7,0.9612499999999999,1.76
P100000120549,steel,1,7,7,0.7542857142857143,1.09
P100000120549,steel,2,6,6,0.7399999999999999,1.27
P100000120549,steel,3,5,5,0.9200000000000002,1.31
P100000120549,steel,4,2,2,0.6799999999999999,0.99
P100000120549,steel,6,1,1,1.69,1.69
P100000120549,steel,8,1,1,1.34,1.34
P100000120549,steel,9,1,1,1.1,1.1
P100000120549,steel,10,3,3,0.8866666666666667,1.12
P100000120549,steel,11,7,7,0.7428571428571429,1.28
P100000120549,steel,12,7,7,0.7128571428571429,1.09
P100000120552,steel,1,5,4,1.242,1.45
P100000120552,steel,2,3,3,1.36,1.54
P100000120552,steel,3,8,7,1.27125,2.08
P100000120552,steel,4,5,3,0.7779999999999999,0.97
P100000120552,steel,5,3,2,1.2666666666666666,1.75
P100000120552,steel,6,1,1,0.71,0.71
P100000120552,steel,7,1,1,0.41,0.41
P100000120552,steel,8,1,1,0.7,0.7
P100000120552,steel,9,2,2,0.89,1.32
P100000120552,steel,10,1,1,0.64,0.64
P100000120552,steel,11,3,3,1.3266666666666667,1.39
P100000120552,steel,12,7,7,0.9914285714285713,1.41
P100000120555,steel,1,68,27,2.1080882352941175,6.74
P100000120555,steel,2,60,21,2.574,8.11
P100000120555,steel,3,77,27,2.015194805194805,6.95
P100000120555,steel,4,58,26,2.9939655172413793,9.66
P100000120555,steel,5,32,15,3.1246875,8.07
P100000120555,steel,6,18,11,2.3311111111111114,6.56
P100000120555,steel,7,14,7,2.195,4.34
P100000120555,steel,8,31,13,2.643548387096774,9.52
P100000120555,steel,9,47,19,2.287659574468085,7.67
P100000120555,steel,10,55,20,2.4507272727272724,9.01
P100000120555,steel,11,91,28,2.3297802197802198,7.61
P100000120555,steel,12,94,29,1.9086170212765956,5.22
P100000120557,steel,1,45,28,1.855777777777778,2.87
P100000120557,steel,2,46,26,2.0719565217391307,4.2
P100000120557,steel,3,20,16,2.056,3.87
P100000120557,steel,4,17,15,1.7794117647058822,2.84
P100000120557,steel,5,20,9,2.2670000000000003,5.09
P100000120557,steel,6,10,8,2.355,3.92
P100000120557,steel,8,16,11,1.83875,3.5
P100000120557,steel,9,11,9,2.0318181818181817,3.37
P100000120557,steel,10,14,12,1.4885714285714287,2.74
P100000120557,steel,11,56,28,1.9996428571428573,4.09
P100000120557,steel,12,59,31,1.755593220338983,3.15
P100000120558,steel,1,41,26,1.8078048780487805,5.97
P100000120558,steel,2,36,25,1.4922222222222221,3.48
P100000120558,steel,3,32,26,2.0546875,6.75
P100000120558,steel,4,22,17,1.5631818181818182,2.77
P100000120558,steel,5,17,11,2.432352941176471,9.55
P100000120558,steel,6,10,8,2.71,6.54
P100000120558,steel,7,3,3,2.7733333333333334,3.16
P100000120558,steel,8,6,5,1.8816666666666666,3.97
P100000120558,steel,9,6,6,1.5816666666666668,2.71
P100000120558,steel,10,19,15,1.5421052631578949,5.87
P100000120558,steel,11,30,21,1.7823333333333333,4.38
P100000120558,steel,12,40,30,1.4300000000000002,2.73
P100000120560,steel,1,9,8,1.271111111111111,1.87
P100000120560,steel,2,12,8,1.0408333333333333,1.58
P100000120560,steel,3,12,11,1.9783333333333335,3.95
P100000120560,steel,4,5,4,2.0780000000000003,5.1
P100000120560,steel,5,1,1,1.45,1.45
P100000120560,steel,6,4,4,2.22,4.67
P100000120560,steel,8,2,2,1.9200000000000002,2.95
P100000120560,steel,9,7,6,1.48,1.86
P100000120560,steel,10,14,10,1.5471428571428572,3.4
P100000120560,steel,11,12,10,1.5675,3.35
P100000120560,steel,12,17,14,0.9976470588235294,2.2
P100000120562,steel,1,7,7,0.4928571428571429,0.64
P100000120562,steel,2,2,2,0.435,0.45
P100000120562,steel,3,1,1,0.36,0.36
P100000120562,steel,4,2,2,1.3,1.48
P100000120562,steel,5,1,1,0.42,0.42
P100000120562,steel,11,1,1,0.29,0.29
P100000120562,steel,12,8,8,0.47625,0.56
P100000120563,steel,3,5,5,0.868,1.12
P100000120563,steel,4,4,4,0.78,0.9
P100000120563,steel,5,3,3,0.59,0.82
P100000120563,steel,6,1,1,0.76,0.76
P100000120563,steel,9,4,4,0.515,0.69
P100000120563,steel,10,2,1,0.5800000000000001,0.66
P100000120563,steel,11,3,3,0.5233333333333333,0.69
P100000120563,steel,12,4,4,0.7225,0.88
P100000120564,steel,1,5,5,0.594,0.94
P100000120564,steel,2,15,11,0.9286666666666666,1.92
P100000120564,steel,3,4,3,0.4925,0.7
P100000120564,steel,4,4,3,1.1525,1.27
P100000120564,steel,5,1,1,0.69,0.69
P100000120564,steel,11,3,3,0.5966666666666667,0.71
P100000120564,steel,12,2,1,0.55,0.57
P100000120566,steel,1,21,19,0.9495238095238095,1.44
P100000120566,steel,2,18,14,1.702777777777778,6.66
P100000120566,steel,3,17,13,1.45,4.79
P100000120566,steel,4,10,9,2.638,10.34
P100000120566,steel,5,6,6,1.3933333333333333,1.75
P100000120566,steel,6,4,3,1.6775,2.17
P100000120566,steel,8,2,2,1.875,2.48
P100000120566,steel,9,3,3,2.6966666666666668,3.93
P100000120566,steel,10,16,10,1.534375,3.24
P100000120566,steel,11,19,17,1.1931578947368422,1.68
P100000120566,steel,12,22,19,1.1045454545454545,3.33
P100000120567,steel,1,40,30,1.03,1.82
P100000120567,steel,2,36,25,1.2747222222222223,5.46
P100000120567,steel,3,39,27,1.2187179487179487,2.9
P100000120567,steel,4,26,19,1.264230769230769,2.42
P100000120567,steel,5,13,9,1.5607692307692307,3.0
P100000120567,steel,6,6,4,1.8366666666666667,2.68
P100000120567,steel,7,2,1,1.265,1.68
P100000120567,steel,8,13,10,1.813076923076923,4.18
P100000120567,steel,9,11,11,1.3181818181818181,2.63
P100000120567,steel,10,25,18,1.3244,1.89
P100000120567,steel,11,26,19,1.028076923076923,1.81
P100000120567,steel,12,52,29,1.0726923076923076,2.23
P100000120568,steel,1,7,6,1.6228571428571428,2.94
P100000120568,steel,2,7,7,1.6371428571428572,2.52
P100000120568,steel,3,3,2,2.3533333333333335,4.34
P100000120568,steel,4,3,2,2.3833333333333333,4.91
P100000120568,steel,5,3,2,2.1666666666666665,4.32
P100000120568,steel,6,1,1,0.52,0.52
P100000120568,steel,7,2,1,2.17,2.41
P100000120568,steel,8,1,1,1.36,1.36
P100000120568,steel,9,2,2,2.26,2.45
P100000120568,steel,10,4,3,1.5725,2.45
P100000120568,steel,11,7,4,1.217142857142857,2.25
P100000120568,steel,12,5,5,1.1720000000000002,1.56
P100000120569,steel,1,59,28,1.4689830508474577,2.79
P100000120569,steel,2,48,25,1.4652083333333332,2.84
P100000120569,steel,3,71,30,1.8453521126760566,3.75
P100000120569,steel,4,45,22,2.1337777777777776,6.06
P100000120569,steel,5,35,14,3.2874285714285714,9.64
P100000120569,steel,6,31,12,2.6716129032258062,9.76
P100000120569,steel,7,8,5,1.45625,3.29
P100000120569,steel,8,27,14,1.6685185185185185,4.36
P100000120569,steel,9,42,17,1.9416666666666667,7.1
P100000120569,steel,10,54,19,2.7174074074074075,7.39
P100000120569,steel,11,95,28,2.0833684210526315,5.9
P100000120569,steel,12,102,28,2.2954901960784313,6.14
P100000120575,steel,1,22,18,1.4527272727272729,4.02
P100000120575,steel,2,24,18,1.7008333333333334,4.79
P100000120575,steel,3,24,17,1.7750000000000001,3.84
P100000120575,steel,4,12,11,1.8225,3.91
P100000120575,steel,5,6,6,2.38,3.23
P100000120575,steel,6,2,2,0.96,1.16
P100000120575,steel,7,2,2,1.33,1.82
P100000120575,steel,8,1,1,5.06,5.06
P100000120575,steel,9,2,2,1.135,1.77
P100000120575,steel,10,9,8,1.1855555555555555,2.1
P100000120575,steel,11,17,15,1.3958823529411766,2.48
P100000120575,steel,12,28,24,1.3307142857142857,2.18
P100000120576,steel,5,3,2,4.526666666666666,9.14
P100000121032,steel,1,1,1,0.66,0.66
P100000121032,steel,3,2,2,0.65,0.74
P100000121032,steel,10,1,1,0.77,0.77
P100000121032,steel,12,1,1,0.94,0.94
P100000121165,steel,1,49,29,1.2159183673469387,2.68
P100000121165,steel,2,44,28,1.2286363636363637,3.33
P100000121165,steel,3,39,27,1.432051282051282,2.51
P100000121165,steel,4,20,16,1.3675000000000002,3.5
P100000121165,steel,5,14,11,1.2557142857142856,1.79
P100000121165,steel,6,22,13,1.617727272727273,3.6
P100000121165,steel,7,1,1,0.33,0.33
P100000121165,steel,8,6,5,1.4616666666666667,1.96
P100000121165,steel,9,18,14,1.526111111111111,2.8
P100000121165,steel,10,18,14,1.213888888888889,2.11
P100000121165,steel,11,51,27,1.5933333333333335,4.23
P100000121165,steel,12,51,31,1.39,2.54
P100000121178,steel,5,1,1,5.86,5.86
P100000121178,steel,6,2,2,7.425,7.96
P100000121181,steel,1,8,8,0.6275,0.87
P100000121181,steel,2,4,4,0.8300000000000001,0.93
P100000121181,steel,10,1,1,0.73,0.73
P100000121181,steel,11,3,3,0.8266666666666667,1.19
P100000121181,steel,12,3,3,0.8666666666666667,1.17
P100000121182,steel,1,51,29,1.1562745098039215,2.13
P100000121182,steel,2,59,27,1.391864406779661,2.56
P100000121182,steel,3,34,25,1.6158823529411763,2.58
P100000121182,steel,4,17,14,1.3670588235294117,1.92
P100000121182,steel,5,21,13,1.6285714285714288,4.59
P100000121182,steel,6,23,15,2.570869565217391,8.85
P100000121182,steel,7,7,5,1.7014285714285715,2.75
P100000121182,steel,8,6,5,1.495,2.18
P100000121182,steel,9,9,7,1.2233333333333334,2.41
P100000121182,steel,10,34,17,1.5667647058823528,4.35
