nearest_facility_id,nearest_facility_type,month,detections,active_days,mean_frp_mw,max_frp_mw
L100000102167,coal_power,6,1,1,1.68,1.68
L100000102167,coal_power,8,4,3,1.365,3.09
L100000102167,coal_power,9,9,9,1.0877777777777777,1.67
L100000102167,coal_power,10,11,10,1.1163636363636362,1.5
L100000102167,coal_power,11,27,22,1.0562962962962963,1.65
L100000102167,coal_power,12,26,25,0.9934615384615384,1.48
L100000102168,coal_power,1,6,6,4.0183333333333335,6.15
L100000102168,coal_power,2,5,5,2.766,5.22
L100000102168,coal_power,3,1,1,1.36,1.36
L100000102168,coal_power,4,3,2,3.1466666666666665,3.54
L100000102168,coal_power,5,2,2,3.415,5.6
L100000102168,coal_power,7,1,1,2.07,2.07
L100000102168,coal_power,10,2,2,1.9649999999999999,2.82
L100000102168,coal_power,11,6,5,3.355,5.08
L100000102168,coal_power,12,5,5,2.914,6.52
L100000102170,coal_power,2,3,1,6.19,10.57
L100000102171,coal_power,12,1,1,5.46,5.46
L100000102172,coal_power,1,36,27,1.5991666666666666,3.08
L100000102172,coal_power,2,34,25,1.8902941176470587,4.06
L100000102172,coal_power,3,37,29,2.1691891891891895,3.52
L100000102172,coal_power,4,17,14,1.9005882352941177,3.77
L100000102172,coal_power,5,13,10,1.8053846153846154,6.9
L100000102172,coal_power,6,8,7,2.41125,3.32
L100000102172,coal_power,7,1,1,2.77,2.77
L100000102172,coal_power,8,10,7,1.316,2.85
L100000102172,coal_power,9,8,7,1.08875,1.47
L100000102172,coal_power,10,18,13,1.6466666666666667,4.22
L100000102172,coal_power,11,31,23,1.7358064516129033,4.07
L100000102172,coal_power,12,33,26,1.51,2.73
L100000102173,coal_power,1,1,1,1.49,1.49
L100000102174,coal_power,1,1,1,0.56,0.56
L100000102174,coal_power,3,3,3,0.6533333333333333,1.0
L100000102174,coal_power,4,2,2,2.355,3.03
L100000102174,coal_power,5,3,2,1.0,1.64
L100000102175,coal_power,1,14,11,1.072142857142857,2.52
L100000102175,coal_power,2,14,9,1.8057142857142858,3.64
L100000102175,coal_power,3,3,3,1.1733333333333336,2.04
L100000102175,coal_power,4,10,10,1.239,1.98
L100000102175,coal_power,5,10,7,1.6689999999999998,3.59
L100000102175,coal_power,6,2,1,3.67,6.76
L100000102175,coal_power,8,3,3,1.6266666666666667,2.51
L100000102175,coal_power,9,5,4,1.6420000000000001,3.87
L100000102175,coal_power,10,14,10,1.2757142857142856,2.26
L100000102175,coal_power,11,39,24,1.2446153846153847,4.34
L100000102175,coal_power,12,44,26,1.1504545454545454,3.77
L100000102177,coal_power,3,1,1,1.75,1.75
L100000102178,coal_power,1,21,18,1.5038095238095237,2.34
L100000102178,coal_power,2,25,18,1.766,2.79
L100000102178,coal_power,3,19,15,1.7489473684210524,3.1
L100000102178,coal_power,4,13,13,2.123076923076923,2.85
L100000102178,coal_power,5,10,9,2.0629999999999997,3.37
L100000102178,coal_power,6,7,7,2.0014285714285713,3.01
L100000102178,coal_power,7,3,3,1.0666666666666667,1.39
L100000102178,coal_power,8,5,4,1.362,2.01
L100000102178,coal_power,9,3,3,1.5866666666666667,2.07
L100000102178,coal_power,10,15,13,1.3713333333333333,2.11
L100000102178,coal_power,11,9,9,1.491111111111111,1.96
L100000102178,coal_power,12,21,19,1.401904761904762,2.25
L100000102179,coal_power,3,1,1,4.23,4.23
L100000102181,coal_power,1,1,1,5.03,5.03
L100000102181,coal_power,3,1,1,8.96,8.96
L100000102182,coal_power,1,1,1,3.9,3.9
L100000102183,coal_power,1,34,26,1.4867647058823528,3.1
L100000102183,coal_power,2,36,26,1.6752777777777779,2.51
L100000102183,coal_power,3,39,26,1.7656410256410255,3.37
L100000102183,coal_power,4,18,14,1.7472222222222222,2.84
L100000102183,coal_power,5,12,8,1.0675000000000001,1.88
L100000102183,coal_power,6,11,8,2.290909090909091,5.84
L100000102183,coal_power,8,2,2,1.71,2.55
L100000102183,coal_power,9,3,3,1.11,1.55
L100000102183,coal_power,10,15,12,1.296,2.19
L100000102183,coal_power,11,27,19,1.3196296296296297,2.1
L100000102183,coal_power,12,37,28,1.4356756756756757,5.09
L100000102184,coal_power,1,9,7,1.1855555555555555,1.36
L100000102184,coal_power,2,16,12,1.684375,2.87
L100000102184,coal_power,3,11,11,1.7300000000000002,2.58
L100000102184,coal_power,4,10,7,1.6329999999999998,2.51
L100000102184,coal_power,5,4,4,1.6575,3.18
L100000102184,coal_power,6,1,1,1.23,1.23
L100000102184,coal_power,10,5,4,1.126,1.39
L100000102184,coal_power,11,19,16,1.423157894736842,3.21
L100000102184,coal_power,12,20,16,1.3645,3.61
L100000102187,coal_power,3,1,1,1.14,1.14
L100000102188,coal_power,3,1,1,5.63,5.63
L100000102194,coal_power,1,2,2,1.12,1.13
L100000102194,coal_power,3,2,1,10.945,11.55
L100000102194,coal_power,11,3,2,0.8066666666666666,1.27
L100000102194,coal_power,12,4,4,1.0575,1.86
L100000102196,coal_power,1,1,1,5.14,5.14
L100000102197,coal_power,12,1,1,3.06,3.06
L100000102199,coal_power,3,1,1,6.31,6.31
L100000102202,coal_power,4,1,1,2.96,2.96
L100000102203,coal_power,3,1,1,6.16,6.16
L100000102203,coal_power,10,1,1,7.53,7.53
L100000102203,coal_power,12,1,1,0.9,0.9
L100000102206,coal_power,1,1,1,1.86,1.86
L100000102206,coal_power,2,1,1,4.84,4.84
L100000102207,coal_power,1,1,1,0.91,0.91
L100000102207,coal_power,3,1,1,3.13,3.13
L100000102209,coal_power,12,1,1,3.51,3.51
L100000102210,coal_power,1,12,11,1.5333333333333334,3.16
L100000102210,coal_power,2,10,8,1.986,3.29
L100000102210,coal_power,3,6,6,2.0316666666666667,3.17
L100000102210,coal_power,4,2,2,1.47,2.3
L100000102210,coal_power,5,4,4,2.2225,3.77
L100000102210,coal_power,9,2,2,2.675,3.73
L100000102210,coal_power,10,11,8,2.5254545454545454,4.69
L100000102210,coal_power,11,20,16,1.6809999999999998,2.38
L100000102210,coal_power,12,12,11,1.9616666666666667,6.08
L100000102213,coal_power,6,3,1,4.923333333333333,7.51
L100000102214,coal_power,1,11,8,1.1290909090909091,1.74
L100000102214,coal_power,2,7,4,1.1071428571428572,2.1
L100000102214,coal_power,3,1,1,1.58,1.58
L100000102214,coal_power,4,8,7,2.37375,4.36
L100000102214,coal_power,5,18,7,7.402777777777778,17.93
L100000102214,coal_power,6,8,5,3.63125,6.18
L100000102214,coal_power,7,1,1,1.9,1.9
L100000102214,coal_power,9,3,3,2.18,3.83
L100000102214,coal_power,10,6,4,1.7633333333333334,2.47
L100000102214,coal_power,11,11,11,2.2363636363636363,3.4
L100000102214,coal_power,12,8,5,1.4825,2.64
L100000102220,coal_power,5,1,1,2.53,2.53
L100000102230,coal_power,10,1,1,4.53,4.53
L100000102238,coal_power,6,1,1,1.22,1.22
L100000102250,coal_power,1,78,27,2.34525641025641,8.88
L100000102250,coal_power,2,72,27,2.465138888888889,7.53
L100000102250,coal_power,3,78,26,3.066153846153846,18.19
L100000102250,coal_power,4,48,21,3.2916666666666665,13.8
L100000102250,coal_power,5,36,15,3.0502777777777776,8.95
L100000102250,coal_power,6,22,12,2.762272727272727,11.25
L100000102250,coal_power,7,6,5,2.9333333333333336,5.95
L100000102250,coal_power,8,6,3,2.855,8.25
L100000102250,coal_power,9,11,6,1.4063636363636365,2.47
L100000102250,coal_power,10,23,12,2.1313043478260867,10.11
L100000102250,coal_power,11,53,22,2.078867924528302,6.06
L100000102250,coal_power,12,68,24,2.2741176470588234,5.7
L100000102252,coal_power,5,1,1,1.67,1.67
L100000102255,coal_power,3,3,2,1.5333333333333332,1.64
L100000102255,coal_power,5,4,4,1.1099999999999999,1.23
L100000102265,coal_power,1,68,28,2.2076470588235293,5.45
L100000102265,coal_power,2,48,24,1.679375,3.44
L100000102265,coal_power,3,64,24,2.33546875,8.04
L100000102265,coal_power,4,37,21,2.4718918918918917,5.97
L100000102265,coal_power,5,25,13,2.7928,7.62
L100000102265,coal_power,6,16,9,2.31875,7.58
L100000102265,coal_power,7,2,1,1.32,1.32
L100000102265,coal_power,8,6,4,1.9016666666666666,3.1
L100000102265,coal_power,9,13,7,1.933846153846154,2.95
L100000102265,coal_power,10,39,18,2.137692307692308,5.0
L100000102265,coal_power,11,63,28,2.3931746031746033,8.07
L100000102265,coal_power,12,79,29,1.880886075949367,7.05
L100000102268,coal_power,11,2,1,2.565,3.46
L100000102276,coal_power,3,1,1,2.59,2.59
L100000102290,coal_power,1,1,1,2.61,2.61
L100000102293,coal_power,5,1,1,0.57,0.57
L100000102293,coal_power,6,1,1,0.65,0.65
L100000102295,coal_power,1,29,23,1.513793103448276,2.56
L100000102295,coal_power,2,23,20,1.6230434782608696,2.5
L100000102295,coal_power,3,22,19,2.0145454545454546,3.47
L100000102295,coal_power,4,14,10,1.6728571428571428,2.8
L100000102295,coal_power,5,9,8,1.3577777777777778,2.24
L100000102295,coal_power,6,4,3,1.2375,2.2
L100000102295,coal_power,7,5,4,1.168,1.64
L100000102295,coal_power,8,4,3,1.8599999999999999,2.3
L100000102295,coal_power,9,2,2,1.31,2.15
L100000102295,coal_power,10,10,9,1.458,2.14
L100000102295,coal_power,11,23,18,1.2795652173913044,2.02
L100000102295,coal_power,12,36,28,1.5469444444444445,2.66
L100000102303,coal_power,1,8,7,1.96125,3.44
L100000102303,coal_power,2,10,8,2.641,3.91
L100000102303,coal_power,3,4,3,2.1175,3.14
L100000102303,coal_power,4,2,2,3.01,3.36
L100000102303,coal_power,5,3,2,4.75,9.3
L100000102303,coal_power,6,2,2,1.495,1.94
L100000102303,coal_power,7,2,2,2.015,2.31
L100000102303,coal_power,8,2,2,1.43,1.45
L100000102303,coal_power,9,1,1,1.47,1.47
L100000102303,coal_power,10,9,7,1.1722222222222223,1.93
L100000102303,coal_power,11,11,9,2.52,6.49
L100000102303,coal_power,12,16,10,1.809375,3.69
L100000102306,coal_power,2,4,1,11.2525,20.59
L100000102307,coal_power,1,1,1,3.11,3.11
L100000102307,coal_power,12,1,1,2.44,2.44
L100000102312,coal_power,1,1,1,0.93,0.93
L100000102312,coal_power,3,2,2,0.92,1.05
L100000102312,coal_power,12,4,3,0.68,1.06
L100000102315,coal_power,1,8,7,0.74375,1.33
L100000102315,coal_power,2,1,1,0.85,0.85
L100000102315,coal_power,3,5,4,0.982,1.26
L100000102315,coal_power,4,3,2,1.5999999999999999,2.27
L100000102332,coal_power,5,1,1,5.36,5.36
L100000102343,coal_power,10,1,1,3.11,3.11
L100000102352,coal_power,11,4,4,2.67,4.18
L100000102357,coal_power,4,2,1,0.63,0.79
L100000102357,coal_power,5,1,1,16.02,16.02
L100000102359,coal_power,3,2,1,6.435,9.34
L100000102359,coal_power,4,2,2,5.35,8.6
L100000102360,coal_power,4,1,1,2.88,2.88
L100000102366,coal_power,2,1,1,3.67,3.67
L100000102367,coal_power,4,3,1,3.3666666666666667,5.52
L100000102376,coal_power,1,1,1,10.78,10.78
L100000102376,coal_power,2,1,1,1.41,1.41
L100000102383,coal_power,11,1,1,1.03,1.03
L100000102383,coal_power,12,1,1,0.76,0.76
L100000102384,coal_power,3,1,1,11.16,11.16
L100000102387,coal_power,2,1,1,3.52,3.52
L100000102400,coal_power,4,1,1,6.71,6.71
L100000102402,coal_power,3,1,1,12.93,12.93
L100000102403,coal_power,12,2,1,5.93,5.93
L100000102405,coal_power,11,1,1,1.28,1.28
L100000102407,coal_power,3,1,1,16.66,16.66
L100000102407,coal_power,4,1,1,11.34,11.34
L100000102407,coal_power,12,1,1,2.54,2.54
L100000102414,coal_power,1,6,6,1.0816666666666668,1.59
L100000102414,coal_power,2,6,5,0.9583333333333334,1.18
L100000102414,coal_power,3,5,5,1.3980000000000001,1.82
L100000102414,coal_power,4,2,2,2.595,3.45
L100000102414,coal_power,11,5,4,1.594,4.32
L100000102414,coal_power,12,14,11,1.3042857142857145,3.97
L100000102416,coal_power,2,1,1,2.37,2.37
L100000102416,coal_power,3,3,2,8.373333333333333,10.25
